0,1
dataset\archive\dataset\b04-195-s03-02.png,an honours degree course .
dataset\archive\dataset\l04-106-s00-01.png,Hawkeshurst that Friday night Hugh Mansell and Roddy
dataset\archive\dataset\j01-059-s01-00.png,The probe extends
dataset\archive\dataset\g06-011p-s00-00.png,By the end of the month he still delighted in Naples .
dataset\archive\dataset\a01-026-s02-00.png,"But representatives of Sir Roy Welensky , Prime"
dataset\archive\dataset\g06-026n-s01-02.png,best Valet de Chambre that ever was .
dataset\archive\dataset\c03-081e-s01-00.png,"However , Miss Pinkie Johnstone"
dataset\archive\dataset\a06-025-s01-02.png,years ;
dataset\archive\dataset\r03-007-s01-06.png,put through .
dataset\archive\dataset\b04-096-s02-00.png,There are many
dataset\archive\dataset\r02-013-s00-00.png,The train drew into another station
dataset\archive\dataset\g06-037k-s03-01.png,of the numerous conventional remedies to which he
dataset\archive\dataset\c02-003-s02-04.png,new Antonioni film .
dataset\archive\dataset\a04-043-s01-03.png,troops .
dataset\archive\dataset\h01-027-s01-03.png,"had become more important by 1961 , and"
dataset\archive\dataset\e01-107-s04-00.png,When
dataset\archive\dataset\g06-018r-s01-03.png,Naples .
dataset\archive\dataset\b01-033-s03-00.png,She has put up the value
dataset\archive\dataset\k04-017-s01-01.png,was wondering whether Olimpia had been
dataset\archive\dataset\m04-180-s07-00.png,He waited .
dataset\archive\dataset\l04-159-s00-01.png,money could have been disposed of in London
dataset\archive\dataset\n06-148-s03-00.png,He
dataset\archive\dataset\p02-069-s02-00.png,""" Come and join us and bring your"
dataset\archive\dataset\m01-012-s03-03.png,"silhouette , already a solid black ."
dataset\archive\dataset\b04-195-s03-01.png,Cambridge want the study of agriculture to become
dataset\archive\dataset\g06-050e-s00-01.png,"Ko""then , near Leipzig , asking for advice ."
dataset\archive\dataset\c02-035-s01-03.png,and paid for his audacity with his life .
dataset\archive\dataset\g04-003-s00-01.png,a walk over the fields while we attended
dataset\archive\dataset\g06-011o-s00-01.png,in Naples .
dataset\archive\dataset\a05-044-s00-02.png,"Elizabeth South , announced immediately"
dataset\archive\dataset\b04-096-s01-01.png,present figure is 19.5 per cent.
dataset\archive\dataset\h02-040-s01-01.png,measures to secure proper observance of
dataset\archive\dataset\r06-076-s00-03.png,"uncuckolded , unrobbed , sheltered from"
dataset\archive\dataset\a01-063x-s02-00.png,A big slice of
dataset\archive\dataset\c04-080-s07-00.png,And they
dataset\archive\dataset\l04-043-s00-00.png,"Kitty encourages him , too ."
dataset\archive\dataset\a01-058x-s01-00.png,He said bluntly in Washington yesterday
dataset\archive\dataset\n04-163-s02-01.png,give me a ring at this number and I 'll
dataset\archive\dataset\b05-050-s03-01.png,these civil engineers creeping about
dataset\archive\dataset\b04-121-s02-00.png,They
dataset\archive\dataset\d06-067-s02-02.png,work .
dataset\archive\dataset\c04-150-s02-00.png,"Courtenay played the part with a gawky ,"
dataset\archive\dataset\e07-066-s00-04.png,greenhouse .
